date,closing,adjusted,evolution,quantity,volume
02/01/2020,"1025,00","1025,00","0,00",1,1025
03/01/2020,"1025,00","1025,00","0,00",1,1025
06/01/2020,"1011,00","1011,00","-1,37",1,1011
07/01/2020,"1020,00","1020,00","0,89",1,1020
08/01/2020,"1020,00","1020,00","0,00",1,1020
09/01/2020,"1020,00","1020,00","0,00",1,1020
10/01/2020,"1022,00","1022,00","0,20",1,1022
13/01/2020,"1025,00","1025,00","0,29",1,1025
14/01/2020,"1025,00","1025,00","0,00",1,1025
15/01/2020,"1025,00","1025,00","0,00",1,1025
16/01/2020,"1025,00","1025,00","0,00",1,1025
17/01/2020,"1050,00","1050,00","2,44",10761,10880438
20/01/2020,"1050,00","1050,00","0,00",1,1050
21/01/2020,"1071,00","1071,00","2,00",144,154220
22/01/2020,"1071,00","1071,00","0,00",1,1071
23/01/2020,"1050,00","1050,00","-1,96",1,1050
24/01/2020,"1052,00","1052,00","0,19",1,1052
27/01/2020,"1052,00","1052,00","0,00",1,1052
28/01/2020,"1052,00","1052,00","0,00",1,1052
29/01/2020,"1052,00","1052,00","0,00",1,1052
30/01/2020,"1052,00","1052,00","0,00",1,1052
31/01/2020,"1032,00","1032,00","-1,90",10,10320
03/02/2020,"1032,00","1032,00","0,00",1,1032
04/02/2020,"1032,00","1032,00","0,00",1,1032
05/02/2020,"1032,00","1032,00","0,00",1,1032
06/02/2020,"1032,00","1032,00","0,00",1,1032
07/02/2020,"1032,00","1032,00","0,00",1,1032
10/02/2020,"1025,00","1025,00","-0,68",1,1025
11/02/2020,"1030,00","1030,00","0,49",1,1030
12/02/2020,"1030,00","1030,00","0,00",1,1030
13/02/2020,"1030,00","1030,00","0,00",1,1030
14/02/2020,"1030,00","1030,00","0,00",1,1030
17/02/2020,"1016,00","1016,00","-1,36",6,6096
18/02/2020,"1020,00","1020,00","0,39",1,1020
19/02/2020,"1040,00","1040,00","1,96",50,52000
20/02/2020,"1040,00","1040,00","0,00",1,1040
21/02/2020,"1040,00","1040,00","0,00",1,1040
24/02/2020,"1060,00","1060,00","1,92",40,42400
25/02/2020,"1065,00","1065,00","0,47",1,1065
26/02/2020,"1067,00","1067,00","0,19",1,1067
27/02/2020,"1067,00","1067,00","0,00",1,1067
28/02/2020,"1066,00","1066,00","-0,09",1,1066
02/03/2020,"1070,00","1070,00","0,38",36,38520
03/03/2020,"1070,00","1070,00","0,00",48,51360
04/03/2020,"1066,00","1066,00","-0,37",1,1066
05/03/2020,"1066,00","1066,00","0,00",1,1066
06/03/2020,"1070,00","1070,00","0,38",1,1070
09/03/2020,"1050,00","1050,00","-1,87",40,42000
10/03/2020,"1046,00","1046,00","-0,38",1,1046
11/03/2020,"1046,00","1046,00","0,00",1,1046
12/03/2020,"1025,00","1025,00","-2,01",16,16525
13/03/2020,"1010,00","1010,00","-1,46",207,209070
16/03/2020,"990,00","990,00","-1,98",52,51483
17/03/2020,"990,00","990,00","0,00",1,990
18/03/2020,"974,00","974,00","-1,62",21,20502
19/03/2020,"960,00","960,00","-1,44",43,41280
20/03/2020,"941,00","941,00","-1,98",1214,1142374
23/03/2020,"943,00","943,00","0,21",1,943
24/03/2020,"943,00","943,00","0,00",1,943
25/03/2020,"943,00","943,00","0,00",1,943
26/03/2020,"960,00","960,00","1,80",1,960
27/03/2020,"963,00","963,00","0,31",1,963
30/03/2020,"963,00","963,00","0,00",1,963
31/03/2020,"982,00","982,00","1,97",25,24550
01/04/2020,"979,00","979,00","-0,31",1,979
02/04/2020,"979,00","979,00","0,00",1,979
03/04/2020,"979,00","979,00","0,00",1,979
