date,closing,adjusted,evolution,quantity,volume
02/01/2020,"74,40","74,40","-0,13",4,"297,6"
03/01/2020,"72,00","72,00","-3,23",545,38895
06/01/2020,"70,10","70,10","-2,64",120,"8524,65"
07/01/2020,"70,00","70,00","-0,14",70,4900
08/01/2020,"71,00","71,00","1,43",30410,"2158350,2"
09/01/2020,"73,00","73,00","2,82",1242,"90299,65"
10/01/2020,"75,00","75,00","2,74",8945,"663219,43"
13/01/2020,"73,10","73,10","-2,53",1200,"89674,8"
14/01/2020,"73,01","73,01","-0,12",1813,"132700,48"
15/01/2020,"72,68","72,68","-0,45",58,"4223,69"
16/01/2020,"75,00","75,00","3,19",16205,"1210316,02"
17/01/2020,"80,00","80,00","6,67",124108,"9908847,7"
20/01/2020,"77,25","77,25","-3,44",50,"3830,7"
21/01/2020,"77,40","77,40","0,19",80,6192
22/01/2020,"78,50","78,50","1,42",3630,"284884,33"
23/01/2020,"79,95","79,95","1,85",46366,"3708931,72"
24/01/2020,"78,91","78,91","-1,30",9806,"782327,26"
27/01/2020,"78,91","78,91","0,00",0,0
28/01/2020,"78,40","78,40","-0,65",12511,"982100,5"
29/01/2020,"78,40","78,40","0,00",324,"25401,6"
30/01/2020,"77,50","77,50","-1,15",4520,350290
31/01/2020,"79,00","79,00","1,94",13390,1037700
03/02/2020,"78,00","78,00","-1,27",2350,183300
04/02/2020,"79,50","79,50","1,92",13643,"1065748,6"
05/02/2020,"80,00","80,00","0,63",19761,"1579602,79"
06/02/2020,"79,00","79,00","-1,25",1680,"132119,8"
07/02/2020,"80,00","80,00","1,27",5289,"423164,85"
10/02/2020,"78,00","78,00","-2,50",140,"10889,05"
11/02/2020,"78,01","78,01","0,01",20,"1560,2"
12/02/2020,"78,01","78,01","0,00",90,"7020,4"
13/02/2020,"80,95","80,95","3,77",10,"809,5"
14/02/2020,"83,00","83,00","2,53",18786,"1539791,24"
17/02/2020,"83,00","83,00","0,00",250,20750
18/02/2020,"81,90","81,90","-1,33",670,54761
19/02/2020,"79,55","79,55","-2,87",46,"3668,8"
20/02/2020,"82,00","82,00","3,08",2593,209590
21/02/2020,"82,50","82,50","0,61",843,"69109,1"
24/02/2020,"82,50","82,50","0,00",0,0
25/02/2020,"79,40","79,40","-3,76",1480,"119366,15"
26/02/2020,"79,00","79,00","-0,50",285,"22485,41"
27/02/2020,"82,40","82,40","4,30",546,"44761,97"
28/02/2020,"82,50","82,50","0,12",2123,"175955,3"
02/03/2020,"80,00","80,00","-3,03",600,48000
03/03/2020,"77,00","77,00","-3,75",462,"36630,42"
04/03/2020,"73,51","73,51","-4,53",30791,"2310667,4"
05/03/2020,"77,00","77,00","4,75",450,34350
06/03/2020,"69,50","69,50","-9,74",157620,10955450
09/03/2020,"68,00","68,00","-2,16",3183,"218820,88"
10/03/2020,"73,30","73,30","7,79",3775,"274154,34"
11/03/2020,"73,30","73,30","0,00",900,65450
12/03/2020,"66,00","66,00","-9,96",7446,"501324,1"
13/03/2020,"69,00","69,00","4,55",47414,"3270272,65"
16/03/2020,"62,11","62,11","-9,99",3595,"238328,74"
17/03/2020,"59,70","59,70","-3,88",1515,"90788,25"
18/03/2020,"57,32","57,32","-3,99",7803,"452547,76"
19/03/2020,"58,00","58,00","1,19",11905,"694403,5"
20/03/2020,"60,30","60,30","3,97",400,24120
23/03/2020,"62,71","62,71","4,00",8019,"502861,29"
24/03/2020,"63,50","63,50","1,26",1635,"103822,5"
25/03/2020,"62,71","62,71","-1,24",1262,"79438,6"
26/03/2020,"60,22","60,22","-3,97",2230,"135105,1"
27/03/2020,"62,50","62,50","3,79",5601,"350051,08"
30/03/2020,"60,01","60,01","-3,98",1600,96016
31/03/2020,"62,40","62,40","3,98",2830,"176017,6"
01/04/2020,"61,00","61,00","-2,24",452,27647
02/04/2020,"61,00","61,00","0,00",389,23809
03/04/2020,"58,60","58,60","-3,93",4680,274653
06/04/2020,"58,50","58,50","-0,17",1650,"96708,9"
07/04/2020,"59,00","59,00","0,85",2422,141906
08/04/2020,"60,99","60,99","3,37",70,"4119,9"
09/04/2020,"61,30","61,30","0,51",1308,80178
10/04/2020,"59,01","59,01","-3,74",3048,"180006,6"
13/04/2020,"59,00","59,00","-0,02",784,46261
14/04/2020,"57,50","57,50","-2,54",4200,241500
15/04/2020,"57,50","57,50","0,00",47,"2702,5"
16/04/2020,"58,67","58,67","2,03",19,"1103,33"
17/04/2020,"56,33","56,33","-3,99",6877,"387656,42"
20/04/2020,"56,00","56,00","-0,59",2043,"115311,21"
21/04/2020,"56,00","56,00","0,00",0,0
22/04/2020,"56,00","56,00","0,00",0,0
23/04/2020,"57,92","57,92","3,43",3050,176610
24/04/2020,"58,99","58,99","1,85",111544,"6680779,52"
27/04/2020,"60,16","60,16","1,98",1700,102032
28/04/2020,"60,16","60,16","0,00",0,0
29/04/2020,"60,00","60,00","-0,27",200001,"12000132,2"
30/04/2020,"62,00","62,00","3,33",80749,"4845249,5"
04/05/2020,"61,00","61,00","-1,61",1739,"106082,78"
05/05/2020,"62,50","62,50","2,46",7160,"431183,97"
06/05/2020,"62,90","62,90","0,64",561,"35283,85"
07/05/2020,"63,74","63,74","1,34",1580,"99052,5"
